,FIRMA,DENUMIRE PRODUS,PRODUCT,GRAMAJ,PRET - DKK,,,,!!! NOTE!!!
,CONSERVFRUCT,Zacusca picanta,Spicy zacusca,300 g,"20,-",,5 941028 004272,,
,CONSERVFRUCT,Zacusca taraneasca,Rustic zacusca,300 g,"20,-",,5 941028 003978,,
,CONTEC FOODS,Zacusca de legume cu ciuperci,Mushrooms stew,300 g,"17,-",,,,
,CONSERVFRUCT,Zacusca de legume cu fasole,Beans stew,300 g,"17,-",,5 941863 002761,,
,CONSERVFRUCT,Zacusca de legume cu vinete,Aubergines stew,300 g,"17,-",,,,
,CONSERVFRUCT,Olympia - Zacusca de vinete coapte,Olympia - Aubergines stew,300 g,"20,-",,,,
,CONSERVFRUCT,Olympia - Zacusca de ciuperci,Olympia – Mushrooms stew,300 g,"20,-",,5 941466 008191,,
,MANDY FOODS,Olympia - Zacusca de fasole,Olympia - Beans stew,300 g,"20,-",,,,
,MANDY FOODS,Olympia - Zacusca picanta,Olympia - Spicy stew,300 g,"20,-",,,,
,,Categorie MAIONEZA,Category MAYONNAISE,,,,,,
,CRIS-TIM,Maioneza cu ou,Egg mayonnaise,280 g,"15,-",,5 941334 007677,,
,,Maioneza vegetala,Vegetable mayonnaise,280 g,"15,-",,5 941334 007684,,
,CONTEC FOODS,Categorie MUSTAR,Category MUSTARD,,,,,,
,CONTEC FOODS,Mustar clasic,Classic mustard,280 g,"15,-",,,,
,CONTEC FOODS,Mustar cu bobite,Mustard with grains,280 g,"15,-",,,,
,CONTEC FOODS,Olympia - Mustar din Tecuci cu boabe,Olympia - Tecuci mustard with grains,300 g,"15,-",,,,
,CONTEC FOODS,Olympia - Mustar din Tecuci hrean,Olympia - Tecuci mustard with horseradish,301 g,"15,-",,,,
,CONTEC FOODS,Olympia - Mustar din Tecuci clasic,Olympia - Classic Tecuci mustard,302 g,"15,-",,,,
,CONTEC FOODS,Olympia - Mustar din Tecuci miere,Olympia - Tecuci mustard with honey,303 g,"15,-",,,,
,UBOLDI,Olympia - Mustar din Tecuci dulce,Olympia - Sweet Tecuci mustard,304 g,"15,-",,,,
,CRIS-TIM,Olympia - Mustar din Tecuci iute,Olympia - Spicy Tecuci mustard,305 g,"15,-",,,,
,CRIS-TIM,De la Cris-Tim - Mustar inte,,280g,"12,-",,5941265014843,,
,CRIS-TIM,De la Cris-Tim - Mustar cu hrean,,280g,"12,-",,5941265014836,,
,CRIS-TIM,De la Cris-Tim - Mustar cu bobite,,280g,"12,-",,5941265014867,,
,,Categorie  PRODUSE CONGELATE,Category FROZEN PRODUCTS,,,,,,
,CRIS-TIM,Burta de vita prefiarta fideluta,Boiled chopped beef tripe,1 kg,"39,-",,5 949070 400035,,
,CRIS-TIM,Carnati de porc grosi,Big pork sausages,,"75,- / Kg",,NO BC ON PRODUCT,,
,CRIS-TIM,Carnati de porc in mat de oaie,Pork sausages in sheep mat,,"45,-",,NO BC ON PRODUCT,,
,CRIS-TIM,Carne tocata porc,Hacked pork,900 g,"40,-",,,,
,KANDIA DULCE,Mici extra,Mici extra,900 g,"55,-",,5 949070 400035,,
,KANDIA DULCE,Matache Macelaru – Mici,Mici – Matache Macelaru,900 g,"55,-",,5 941265 000176,,
,Tip Top food industry,Bonito - Placinta cu douleac,,925g,"40,-",,5941540007737,,
,Tip Top food industry,Bonito - Placinta cu carne,,925g,"40,-",,5941540007942,,
,Tip Top food industry,Bonito - Placinta cu spanac,,925g,"40,-",,5941540007744,,
,Tip Top food industry,Bonito - Placinta cu branza,,925g,,,5941540004699,,
,,Categorie PRAJITURI SI PRODUSE DE PATISERIE,Category COOKIES AND PASTRIES,,,,,,
,BOROMIR,Magura – ciocolata si vanilie,Magura – Chocolate and vanilla,35 g,"5,-",,5 941047 826763,,
,BOROMIR,Magura – iaurt si zmeura,Magura – Yogurt and raspberry,35 g,"5,-",,5 941047 826794,,
,BOROMIR,Prajitura Magura cu Alune,Magura – Cake with Nuts,35 g,"5,-",,5 941047 820563,,
,BOROMIR,Prajitura Magura cu Rom,Magura – Cake with Rum,35 g,"5,-",,5 941047 813947,,
,BOROMIR,Prajitura Magura cu Capsuni,Magura – Cake with Strawberries,35 g,"5,-",,5 941047 814036,,
,BOROMIR,Prajitura Magura cu Cacao,Magura – Cake with Cocoa,35 g,"5,-",,5 941047 814005,,
,BOROMIR,Cozonac cacao si rahat,Cake – cocoa and Turkish delight,400 g,"30,-",,5 941300 000022,,
,ACCASA,Cozonac nuca,Cake – walnuts,400 g,"30,-",,5 941300 000749,,
,ACCASA,Cozonac cu crema caramel si ciocolata,Cake - caramel cream and chocolate ,450 g,"36,-",,5 941300 007106,,
,ACCASA,Cozonac nuca si stafide,Cake – walnuts and raisins,400 g,"30,-",,5 941300 001142,,
,ACCASA,Prajitura cu aroma de caramel,Caramel bianco - caramel flavoured cake,300 g,"25,-",,5 941850 164816,,
,ACCASA,Prajitura cu aroma fina de lamaie,Lemon taste fine cake,300 g,"25,-",,5 941850 163093,,
,ACCASA,Prajitura asortata,Assorted cakes,300 g,"25,-",,RECHECK,,
,ACCASA,Prajitura Ambasador cu crema de caise,Ambasador cake - cake with apricot paste,300 g,"25,-",,5 941850 163109,,
,ACCASA,Prajitura Domino,Domino cake,300 g,"25,-",,5 941850 163246,,
,ACCASA,Tiramisu - Prajitura cu cafea instant,Tiramisu - cake with instant coffee,300 g,"25,-",,5 941850 163048,,
,ACCASA,Butoiase - rulouri cu aroma de vanilie,Barrels - vanilla flavoured pastry rolls,300 g,"25,-",,5 941850 164694,,
,ACCASA,Rulade asortate,Assorted pastry rolls,300 g,"25,-",,5 941850 164694,,
,ACCASA,Puff - rulouri cu crema de vanilie,Puff pastry roll with vanilla taste cream,350 g,"29,-",,5 941850 163024,,
,ACCASA,Puff - rulouri cu crema de frisca,Puff pastry roll with whipped cream taste cream,350 g,"29,-",,5 941850 164908,,
,ACCASA,Puff - rulouri cu crema de cacao,Puff pastry roll with cocoa cream,350 g,"29,-",,5 941850 163017,,
,ACCASA,Paleu cu crema fondant,Paleu fondant cream,300 g,"25,-",,5 941850 164311,,
,DR. FURSEC,Fursecuri cu stafide si aroma de unt,Shortbread cookies with raisins and butter taste,350 g,"29,-",,5 941850 164281,,
,DOBROGEA GRUP,Salam de biscuiti – rahat si stafide,Biscuits salami – Turkish delight and raisins,"80,-","8,-",,5 941850 164397,,
,DOBROGEA GRUP,Salam de biscuiti – rahat si stafide,Biscuits salami – Turkish delight and raisins,300 g,"25,-",,5 941850 164359,,
,DOBROGEA GRUP,Amandina,Amandina,300 g,"25,-",,6 422064 009142,,
,MONDELEZ,Eugenia – lapte si vanilie,Eugenia – milk and vanilla,36 g,"4,-",,5 941006 101641,,
,MONDELEZ,Eugenia – aroma de lamaie,Eugenia – with lemon taste,36 g,"4,-",,5 941006 101658,,
,MONDELEZ,Eugenia – crema de cacao,Eugenia – cocoa cream,36 g,"4,-",,5 941006 101566,,
,KANDIA DULCE,Barni – chocolate filing,Barni – chocolate filing,30 g,"5,-",,5 906747 314118,,
