,Viči,Rausvoji šaltai rūkyta silkių filė aliejuje,,240gr,23.00,,4770190035903
,Viči,Dūmų skonio silkių filė aliejuje,,240gr,23.00,,4770190035798
,Viči,Marinuota silkių filė su prieskoniniu užpilu,,250g,24.00,,4770190044967
,Viči,Marinuota silkių filė su gaiviuoju užpilu,,250g,24.00,,4770190044974
,Viči,"Silkių filė su krapais aliej. ""Pavasaris""",,200g,20.00,,
,Norvelita,Kaimiska Atlantiniu silkiu file,,240g,15.00,,4770486165079
,Desė,Silkių filė “Eglutė”,,300g,23.00,,4770875164270
,Desė,Sūdyta silkių filė su pievagrybiais ir daržovėmis majonezo padaže,,300g,22.00,,4770875164102
,Desė,Sūdyta silkių filė su burokėliais ir kitomis daržovėmis majonezo padaže,,300g,22.00,,4770875164126
,Santa Bremor,Silpnai sūdyta delikatesinė silkių filė “Matje” su prieskoniais,,250g,27.00,,4810168000066
,Santa Bremor,Silpnai sūdyta delikatesinė silkių filė “Matje” Original,,250g,27.00,,4810168000011
,Santa Bremor,Silpnai sūdyta delikatesinė silkių filė “Matje” Provanso,,250g,27.00,,4810168002220
,Santa Bremor,Silpnai sūdyta delikatesinė silkių filė “Matje” dūmų skonio,,250g,27.00,,4810168000103
,Santa Bremor,Silpnai sūdyta delikatesinė silkių filė “Matje” su žalumynais,,250g,27.00,,4810168010607
,Sanitex,Silpnai sūdyta silkių filė “Škuna” su prieskoniai ir su oda,,180g,23.00,,4810168025083
,Sanitex,Silpnai sūdyta silkių filė “Škuna” su oda,,180g,23.00,,4810168009373
,Edega,"Silkių filė ""Šventinė""",,1kg,66.00,,4770432199875
,ICECO,"Silkių filė ""Zigmas"" Klasikinė, aliejuje su dūmo skonio aromatu",,240g,22.00,,4770221164121
,ICECO,"Silkių filė ""Zigmas"" Klasikinė, aliejuje mažai sūdyta",,240g,22.00,,4770221164114
,ICECO,"Silkių filė ""Zigmas"" Klasikinė, aliejuje mažai sūdyta",,1kg,66.00,,4770221165579
,Viči,Silkių gabaliukai su keptais svogūnais,,200g,20.00,,4770190087759
,Viči,Silkių gabaliukai su keptom sėklom,,200g,20.00,,
,Viči,"Silkių filė su svogūnais aliej. ""Žiema""",,200g,20.00,,4770190352925
,Viči,Silkių gabaliukai su džiovintais baravykais,,200g,24.00,,4770190087797
,Viči,"Marin. silkių filė sukt.su al.,su kons.agurk.",,200g,24.00,,
,Viči,Atlantinių silkių salotos su burokėliais ,Atlantic herrring fillet & red beets,400g,24.00,,4770190065481
,Viči,Silkių salotos su daržovėmis,Herring salad with stewed vegetables,150g,12.00,,4770190350563
,Viči,Silkių salotos su bilvėmis,Potato and herring salad,400g,18.00,,4770190065504
,,Sūdyta silkė su galva (kibiras 4kg),,4kg,200.00,,
,Grundalas,"Atlanto silkė su galva, spacialaus sūdymo (metalinis indas)",,"1,3kg",65.00,,4770594206770
,Edega,Sūdyta silkė su galva (plast indas),,"1,3kg",65.00,,4770432002250
,ICECO,"Sūdytos Atlantinės silkės ""Zigmas"" be galvų su prieskoniais","Salted herring (gutted, head off) with spices","1,3kg",60.00,,4770221362022
,,Silkė su galva iš kibiro,,~250g,20.00,,
,BALTIJAS ZIVIS - 97,"Siļķu filejas eļļā ""Matje""","Herring fillet in oil ""Matje”",200g,22.00,,4750289001378
,BALTIJAS ZIVIS - 97,"Siļķu filejas un dārzeņu asorti ""Jūras orhideja""",Herring fillet and vegetables assorted “Jūras orchideja”,200g,27.00,,4750289030132
,BALTIJAS ZIVIS - 98,Silku titeni marinade ar apelsiniem,Herring bindweed marinade with orange,300g,39.00,,4750289001804
,LATIS,Siļķes fileja eļļā “Matje”,"Herring fillet in oil ""Matje”",200g,20.00,,4751004070013
,LATIS,Silku filejas majoneze ar ananasiem,Herring fillet with pineapple,500g,36.00,,4751004071799
,BERZCIEMS,Silku filejas gabalini,Herring fillet,250g,29.00,,4750217001173
,BALTIJAS ZIVIS - 97,"Skumbrijas fileju gabaliņi eļļā ""Jums""","Mackerel fillet pieces in oil ""Jums”",200g,27.00,,
,BALTIJAS ZIVIS -97,Ceptas skumbriju filejas tom.mērcē Rudens,Fried mackerel fillets in tomato sauce “Rudens”,250g,27.00,,
,KAIJA,"""GARDUMS"" Siļķu filejas eļļā",Herring fillet in oil “Gardums”,250g,24.00,,
,KAIJA,Gardums siļķu fileja Ungāru gaumē,Delicacy herring fillet Hungarian style,450g,35.00,,
,KAIJA,Makrelu filejas ella,Mackerel fillets in oil,170g,15.00,,4751007730723
,BERZCIEMS,Siļķu rolmopši marinādē,Marinated herring rolls,500g,40.00,,4750217602882
,ViCI,Silku filejas rolmopši ar konservetiem gurkiem ella (ar cukuru un saldinataju),Herring fillet rolls with cucumbers,200g,?,,4770190351089
,DECENT,Seld file v masle DYMOK,Herring fillets in oil “Dymok”,200g,21.00,,4750501001179
