,,ГОТОВЫЕ СУПЫ/ ЗАПРАВКИ ДЛЯ СУПА,ALREADY MADE SOUPS/ BASE FOR SOUPS,WEIGHT,PRICE,,BARCODE
,Тещины рецепты,Борш украинский,,460g,18.00,,4260099272528
,Тещины рецепты,Суп Харчо,,460g,18.00,,4260099272559
,Тещины рецепты,Грибной суп,,460g,22.00,,4260099272504
,Тещины рецепты,Шавельный суп,,460g,18.00,,4260099272511
,Русский Стиль,Суп Рассольник ,,460g,20.00,,5901008045442
,Русский Стиль,Суп Солянка,,460g,18.00,,5901008045664
,Dworek,Щи по-деревенски,,680g,20.00,,5904603191835
,Leon,Борщ украинский густой,,460g,18.00,,5901008044469
,Тещины рецепты,Заправка для борша с болгарским перцем,,370g,16.00,,4260099272191
,Тещины рецепты,Заправка для борша свекольно- томатная,Spices for Borsch,370g,16.00,,4260099272146
,Тещины рецепты,Заправка для рассольника,,370g,16.00,,4260099272467
,Едим дома,Заправка для красного борща,,470g,18.00,,4820015947000
,,КОНСЕРВИРОВАНЫЕ ПОМИДОРЫ,TOMATOES,WEIGHT,PRICE,,BARCODE
,Русский Стиль,Томаты с укропом без уксуса,,900ml,20.00,,5901008045114
,Русский Стиль,Томаты бочковые,,900ml,20.00,,5901008045206
,Тещины рецепты,Томаты,Pickled tomatoes,840g,22.00,,4260099274270
,Тещины рецепты,Консервированные томаты по-болгарски,Pickled tomatoes,980g,25.00,,4260099275208
,Тещины рецепты,"Консервированные томаты ""черри"" по-болгарски",,980g,25.00,,4260099275338
,Тещины рецепты,Консервированные помидоры с листом вишни по-астрахански,Pickled tomatoes with cherry leaf,850g,22.00,,4260099274195
,Тещины рецепты,Консервированные помидоры по-крымски,Pickled tomatoes with dill and garlic,880g,20.00,,4260099274294
,Тещины рецепты,Бочковые помидоры красные дачные,Pickled tomatoes,860g,22.00,,4260099274133
,Тещины рецепты,Консервированные помидоры по-херсонски,Pickled tomatoes,880g,22.00,,4260099274232
,Тещины рецепты,Консервированные помидоры с укропом и чесноком по-нежински,Pickled tomatoes with dill and garlic,880g,22.00,,4260099274010
,Тещины рецепты,Консервированные помидоры по-алтайски,Marinated tomatoes,880g,20.00,,4260099275345
,Тещины рецепты,Консервированные помидоры по-краснодарски пикантные,Pickled tomatoes spicy,880g,22.00,,4260099274249
,Тещины рецепты,Консервированные помидоры по-кубански,Pickled tomatoes,880g,22.00,,4260099274034
,Тещины рецепты,Консервированные помидоры по-кавказски гранатовые,Pickled tomatoes,880g,22.00,,4260099274218
