,,SYROPY,SYRUPS,,,,
,Łowicz,Łowicz czarna porzeczka syrop,Lowicz black currant syrup,440ml,20.00,,5900397020368
,Łowicz,Łowicz żurawina syrop,Lowicz carnberry syrup,440ml,20.00,,5900397734135
,Łowicz,Łowicz truskawka syrop,Lowicz strawberry syrup,440ml,20.00,,5900397020313
,Łowicz,Łowicz pomarańcza syrop,Lowicz orange syrup,440ml,20.00,,5900397020115
,SNACKS,,,,,,
,,CHIPSY,CHIPS,WEIGHT,"PRICE, DKK",,BARCODE
,Lay's ,"Pikantne chipsy ""Strong"" karbowane o smaku ostre chilli","Chips ""Strong"" with spicy chilli flavour",140g,18.00,,5900259076656
,Lay's ,"Chipsy ziemniaczane ""Maxx mocno pogiete"" czerwona papryka","Chips ""Maxx mocno pogiete"" with red pepper flavour",140g,18.00,,5900259057624
,Lay's ,"Chipsy ""TV paka"" naturalne solone","Chips ""Tv pack"" natural salty",150g,18.00,,5900259123404
,Lay's ,"Chipsy ""TV paka"" fromage","Chips ""Tv pack"" fromage",150g,18.00,,5900259111944
,Lay's ,"Chipsy ""TV paka"" papryka","Chips ""Tv pack"" pepper",150g,18.00,,5900259111241
,Lay's ,"Chipsy ""Karbowane"" papryka",Chips with pepper,150g,18.00,,5900259066237
,Lay's ,"Chipsy ""Karbowane"" zielona cebulka",Chips with green onion,150g,18.00,,5900259066213
,,CHRUPKI KUKURYDZIANE,,WEIGHT,"PRICE, DKK",,BARCODE
,Cheetos,Chupki kukurydziane o smaku sera,Crunchy corn with cheese taste,85g,12.00,,5900259029041
,Cheetos,Chupki kukurydziane o smaku ketchupowym,Crunchy corn with ketchup taste,85g,12.00,,5900259353276
,Tygryszki,"Chrupki kukurydziane ""Rodzinne""",Crunchy corn for family,300g,23.00,,5908221100125
,,,BREAD SNACKS,WEIGHT,"PRICE, DKK",,BARCODE
,7 DAYS,"""Bake rolls"" pizza","Baked bread discs ""Bake rolls"" pizza",70g,10.00,,5201360671069
,7 DAYS,"""Bake rolls"" pizza","Baked bread discs ""Bake rolls"" pizza",160g,16.00,,5201360600304
,7 DAYS,"""Bake rolls"" ser i szpinak","Baked bread discs ""Bake rolls"" cheese and spinach",70g,10.00,,5201360671052
,7 DAYS,"""Bake rolls"" pomidorowy z oliwek i oregano","Baked bread discs ""Bake rolls"" tomato olive and oregano",160g,16.00,,5201360655571
,7 DAYS,"""Bake rolls"" czosnek","Baked bread discs ""Bake rolls"" garilc",160g,16.00,,5201360605743
,Ital food,"Pieczone krazki chlebowe ""Bruscette Maretti"" o smaku pesto","Baked bread discs ""Bruscette Maretti"" flavored with pesto",70g,10.00,,3800205873365
,Ital food,"Pieczone krazki chlebowe ""Bruscette Maretti"" o smaku pomidorowo, oliwkowo, oregano","Baked bread discs ""Bruscette Maretti"" flavored with tomatoe, olives and oregano",70g,10.00,,3800205875109
,,POP CORN,POP CORN,WEIGHT,"PRICE, DKK",,BARCODE
,Felix,Pop corn maslo,Pop corn butter,90g,10.00,,5900571051324
,Felix,Pop corn ser,Pop corn cheese,90g,10.00,,5900571300491
,Felix,Pop corn sol,Pop corn salt,90g,10.00,,5900571051317
,,PALUSZKI,STICKS,WEIGHT,"PRICE, DKK",,BARCODE
,Aksam,"Paluszki ""Beskidzkie"" z sola",Sticks with salt,70g,5.00,,5907029000019
,Aksam,"Paluszki ""Beskidzkie"" z sola",Sticks with salt,300g,13.00,,5907029000040
,Aksam,"Paluszki ""Beskidzkie"" pikantne",Sticks with spicy flavour,60g,5.00,,5907029002235
,Aksam,"Paluszki ""Beskidzkie"" pikantne",Sticks with spicy flavour,220g,13.00,,5907029002112
,Aksam,"Paluszki ""Beskidzkie"" o smaku wedzonego bekonu",Sticks with smoked bacon flavour,60g,5.00,,5907029002273
,Aksam,"Paluszki ""Beskidzkie"" o smaku serowo- cebulkowym",Sticks with cheese and onion flavour,60g,5.00,,5907029002259
,Aksam,"Paluszki ""Beskidzkie"" o smaku serowo- cebulkowym",Sticks with cheese and onion flavour,220g,13.00,,5907029002150
,Aksam,"Paluszki ""Beskidzkie"" z sezamem",Sticks with sesame seeds,210g,13.00,,5907029004017
,SWEETS,,,,,,
,,ROGALIKI,CROISSANT,WEIGHT,"PRICE, DKK",,BARCODE
