,Laima,Maskva šokolādes konfektes,MASKVA chocolate candies,2kg,100/kg,,4750001310832
,Laima,Diāna saldumi,DIANA sweets,2kg,100/kg,,4750001006865
,Laima,ROKENROL šokolādes konfektes,ROKENROL chocolate candies,2kg,100/kg,,4750007687839
,Laima,"FRUIT-BERRY cieti vārītas konfektes maisījums (apelsīnu, zemeņu, kivi, vīnogas)","FRUIT-BERRY hard boiled candy mix (orange, strawberry, kiwi, grape)","2,5kg",80/kg,,4750011112853
,Laima,ZOSU KAJINAS cieti vārītas konfektes ar zemesriekstu pildījumu,ZOSU KAJINAS hard boiled candies with peanut filling,"2,5kg",80/kg,,4750011207856
,Laima,TEATRA cieti vārītas konfektes,TEATRA hard boiled candies,"2,5kg",80/kg,,4750011101857
,Laima,DAŽĀDI CHEWIES (5 dažādi),MIXED CHEWIES (5 different),"2,5kg",80/kg,,4750001003208
,,Cremona vanilla,Cremona vanilla,1 kg,90/kg,,4820046867162
,Saldus partikas kombinats,Konfetkes GOTINA,Sweets GOTINA,1kg,110/kg,,4750057575049
,Skriveru saldumi,Konfektes Skriveru gotina ASORTI,Sweets Skriveru gotina ASORTI,2.5kg,110/kg,,4751010570552
,Skriveru saldumi,Piena iriss ar kakao,,60g,?,,4751010571085
,Skriveru saldumi,Piena iriss ar riekstiem,,60g,?,,4751010571078
,Skriveru saldumi,Piena iriss klasikais,,60g,?,,4751010571061
,Skriveru saldumi,SKRIVERU GOTINA. Lielkonfekte ar mandelriekstiem,,90g,14.00,,4751010573317
,Skriveru saldumi,SKRIVERU GOTINA. Latvijas Gotina ar kirsiem un dzervenem,,200g,20.00,,4751010573881
,Skriveru saldumi,SKRIVERU GOTINA. Konfektes ar piparmētru,,200g,20.00,,4751010574086
,Skriveru saldumi,SKRIVERU GOTINA. Konfektes,,200g,20.00,,4751010574079
,Skriveru saldumi,SKRIVERU GOTINA. Piena konfektes ar rumu un rozīnēm,,200g,20.00,,4751010571214
,Skriveru saldumi,Zemenes baltaja sokolade BERRY PRINCESS,,105G,49.00,,4751010572228
,NO BRAND,Konfektes Vit.C Ar cuk.(APELSĪNS) Askorbinka 10gab.,Sweets “Vitamin C” (Oranges),,,, 
,NO BRAND,Konfektes Vit.Car cuk. Askorbinka 10gab.25mg.,Sweets “Vitamin C”,,,,
,Skriveru saldumi,ASPASIA. Plūmes un mandele tumšajā šokolādē,Plum and almond in dark chocolate,180g,?,,4750011823445
NEW PRODUCTS,Skriveru saldumi,ASPASIA. Kirši glazūra,Glazed cherries,150g,35.00,,4751010571276
,Skriveru saldumi,ASPASIA. Toffee putotais iriss,,50g,?,,4751010571115
,Skriveru saldumi,ASPASIA. Mellenes sokolade,,120g,39.00,,4751010572242
,Skriveru saldumi,ASPASIA. Mandelrieksti sokolade,,120g,39.00,,4751010572082
,Skriveru saldumi,ASPASIA. Lazdu rieksti sokolade,,120g,39.00,,4751010572051
,Skriveru saldumi,ASPASIA. Zemenes dzervenes sokolade,,120g,39.00,,4751010573669
,LAIMA,Plūmes šokolādē,Plum in chocolate,180g,29.00,,4750011823452
