"""Филикон-97""АД","Philicon, Домашна лютеница","Homemade lyutenitsa ""Philicon""",600 g.,22.00,3800014203933,LYUTENITSA,,,
"""Филикон-97""АД","Philicon, Македонска лютеница","Macedonian lyutenitsa ""Philicon""",600 g.,22.00,3800014255833,LYUTENITSA,,,
"""Филикон-97""АД","Philicon, Екстра лютеница","Extra lyutenitsa ""Philicon""",600 g.,22.00,3800014203537,LYUTENITSA,,,
"""Филикон-97""АД","Philicon, Шкумбата лютеница","Shkumbata lyutenitsa ""Philicon""",600 g.,22.00,3800014203438,LYUTENITSA,,,
"""Филикон-97""АД","Philicon, Лютеница Нашенска едросмляна","Coarse lyutenitsa ""Philicon""",380 g.,18.00,3800014223139,LYUTENITSA,,,
"""Филикон-97""АД","Philicon, Лютеница Балкански вкус","Lyutenitsa Balcan taste ""Philicon""",380 g.,18.00,3800014223238,LYUTENITSA,,,
"Олинеза ООД, София",Олинеза Лютивка,"Lyutivka ""Olineza""",265 g.,18.00,3800012192123,LYUTENITSA,,,
"Олинеза ООД, София","Олинеза , Селце, Традиционна лютеница","Traditional village lyutenitsa ""Olineza""",270 g.,15.00,3800012140414,LYUTENITSA,,,
"Олинеза ООД, София","Олинеза Лютеница, Традиционна финосмляна","Traditional finely ground lyutenitsa ""Olineza""",520 g.,30.00,3800012191126,LYUTENITSA,,,
"Олинеза ООД, София","Лютеница, едро смляна; Люта","Coarse lyutenitsa, chilli",260 g.,20.00,3800012140933,LYUTENITSA,,,
"Олинеза ООД, София",Бабина едро смляна лютеница,Grandmother's course lyutenitsa,515 g.,33.00,3800012196121,LYUTENITSA,,,
"Олинеза ООД, София",Бабина едро смляна лютеница,Grandmother's course lyutenitsa,250 g.,20.00,3800012196114,LYUTENITSA,,,
"Олинеза ООД, София",Кьопоолу,Kyopoolu,510 g.,35.00,3800012194127,LYUTENITSA,,,
"Олинеза ООД, София",Кьопоолу,Kyopoolu,250 g.,20.00,3800012194110,LYUTENITSA,,,
"Олинеза ООД, София",Доматено пюре,Tomatoe puree,520 g.,15.00,3800012186122,LYUTENITSA,,,
"Олинеза ООД, София",Деликатесна лютеница,Gourmet lyutenitsa,265 g.,20.00,3800012140117,LYUTENITSA,,,
"Олинеза ООД, София","Домашна лютеница, едро смляна",Coarse homemade lyutenitsa,"1,030 kg.",45.00,3800012193144,LYUTENITSA,,,
