Zwack,Futyulos Mezes Barack ,Palinca with honey and peach,500ml,90.00,5995099429083,UNICUM/ PALINCA
Zwack,Futyulos Mezes Meggy ,Palinca with honey and cherries,500ml,90.00,5995099429144,UNICUM/ PALINCA
Zwack,Futyulos Barack ,Palinca with peach,500ml,95.00,5995099429076,UNICUM/ PALINCA
,BOR ,WINE,WEIGHT,"PRICE, DKK",BARCODE,
Bock,Bock PortaGeza Portugieser 2014,Bock PortaGeza Portugieser 2015,750ml,75.00,5999042130309,WINE
Duzsi Tamas,Duzsi Kekfrankos 2013,Duzsi Kekfrankos 2014,750ml,65.00,5999068813668,WINE
Figula,Figula Olaszrizling 2014,Figula Olaszrizling 2015,750ml,65.00,5997508500284,WINE
Figula,Figula Zenit 2014,Figula Zenit 2015,750ml,65.00,5997508500260,WINE
Gere,Gere Portugieser 2014,Gere Portugieser 2015,750ml,69.00,5998842237973,WINE
Gal Tibor,Gal Tibor Pinot Noir 2012,Gal Tibor Pinot Noir 2013,750ml,85.00,5999559720000,WINE
Gunzer,Gunzer Villanyi Cuvee 2013,Gunzer Villanyi Cuvee 2014,750ml,75.00,5999546000160,WINE
Nyakas,Nyakas Aligvarom 2014,Nyakas Aligvarom 2015,750ml,65.00,5999509775029,WINE
Nyakas,Nyakas Budai Irsai Oliver 2014,Nyakas Budai Irsai Oliver 2015,750ml,69.00,5999509772028,WINE
Sauska,Sauska Cuvee 13 2013,Sauska Cuvee 13 2014,750ml,95.00,5999557600045,WINE
Sauska,Sauska Tokaj Furmint 2014,Sauska Tokaj Furmint 2015,750ml,75.00,5999549642275,WINE
Takler,Takler Trio 2013,Takler Trio 2014,750ml,79.00,5999880139632,WINE
Thummerer,Thummerer Egri Muskotaly 2014,Thummerer Egri Muskotaly 2015,750ml,75.00,5998836538574,WINE
