ALCOHOL DRINKS,,,,,,
,PIWO,BEER,WEIGHT,"PRICE, DKK",BARCODE,Type
Kamis,Kamis musztarda francuska lekko ostra,"Mustard ""French"", a bit hot",185g,13,5900084229517,Type
Kamis,Kamis musztarda bawarska łagodna,"Mustard ""Bawarska"", mild",185g,13,5900084229722,Type
Kamis,Kamis musztarda czosnkowa lekko ostra,"Mustards with garlic, a bit hot",185g,13,5900084229753,Type
Kamis,Kamis musztarda kremska łagodna,"Mustard ""Kremska"", mild",185g,13,5900084237895,Type
Kamis,Kamis musztarda chrzanowa lekko ostra,"Mustard with horseradish, a bit hot",185g,13,5900084229487,Type
Kamis,Kamis musztarda grillowa lekko ostra,"Mustard ""Grill"", a bit hot",185g,13,5900084229579,Type
Kamis,Kamis musztarda sarepska ostra,"Mustard ""Sarepska"", hot",185g,13,5900084229395,Type
Kamis,Kamis musztarda sarepska ostra,"Mustard ""Sarepska"", hot",280g,15,5900084049238,Type
,CHRZAN,HORSERADISH,WEIGHT,"PRICE, DKK",BARCODE,Type
Rolnik,Chrzan tarty,Grated horseradish,190g,10,5900919000458,Type
,MAJONEZ,MAYONNAISE,WEIGHT,"PRICE, DKK",BARCODE,Type
Hellmann's,Majonez babuni,Grandmothers mayonnaise,420ml,24,8718114892849,Type
Hellmann's,Oryginalny majonez,Mayonnaise original,420ml,24,8722700652038,Type
Hellmann's,Majonez light,Mayonnaise light,420ml,24,8722700844969,Type
Hellmann's,Majonez babuni,Grandmothers mayonnaise,225ml,20,8718114892818,Type
Winiary,Winiary majonez delikatny,Mayonnaise delicat,400ml,25,7613034551207,Type
Kielecki,Majonez kielecki,Mayonnaise,310ml,20,5900242001566,Type
Kieliecki,Majonez kielecki,Mayonnaise,700ml,39,5900242003089,Type
,,,,,,Type
,SOS,SAUCE,WEIGHT,"PRICE, DKK",BARCODE,Type
Winiary,Sos czosnokowy,Garlic sauce,250ml,15,5900862213554,Type
Winiary,Sos ziołowy z nutą czosnku,Herb sauce with pint of garlic,240ml,15,7613034266293,Type
Winiary,Sos wiosenny z koperkiem,Spring sauce with dill,240ml,15,7613034551221,Type
Winiary,Sos tatarski,Tatar sauce,250ml,15,5900862212540,Type
Winiary,Sos chrzanowy,Horseradish sauce,250ml,15,5900862214308,Type
Pudliszki,"Sos ""Chinski"" do ryzu",Chinese sauce,500g,20,5900783003586,Type
,MAGGI,MAGGI,WEIGHT,"PRICE, DKK",BARCODE,Type
Nestle,Maggi przyprawa w płynie,Maggi liquid seasoning,200g,15,5900085011180,Type
Nestle,Maggi przyprawa w płynie,Maggi liquid seasoning,960g,40,5900085011937,Type
Winiary,Maggi przyprawa do zup/ sosów/ sałatek,"Seasoning for soups, sauces, salads",210g,10,5900862213530,Type
,POMIDORY SUSZONE,DRIED TOMATOES,WEIGHT,"PRICE, DKK",BARCODE,Type
Rolnik,Pomidory suszone w oleju,Dried tomatoes in oil,280g,25,5900919004722,Type
,FASOLKA KONSERWOWA,CANNED BEANS,WEIGHT,"PRICE, DKK",BARCODE,Type
Unamel,Fasolka konserwowa żółta cięta,Canned yellow beans,440g,15,5902468100153,Type
Unamel,Fasolka konserwowa zielona cięta,Canned green beans,440g,15,5902468100153,Type
,WARZYWA W PUSZCE,VEGETABLES IN CANS,WEIGHT,"PRICE, DDK",BARCODE,Type
Pudliszki,Groszek konserwowy,Canned peas,400g,10,5900783000028,Type
Jamar,Kukurydza konserwowa,Canned corn,400g,10,5906716200848,Type
Unamel,Marchew konserwowa kostka,Canned carrot,440g,15,5902468100245,Type
,MAKARONY,PASTA,WEIGHT,"PRICE, DKK",BARCODE,Type
Lubella,"Gniazda Wstazki ""Tagliatelle"" (pelne ziarno) ",Tagliatelle (full corn),400g,16,5900049011546,Type
Lubella,"Gniazda Wstazki "" Nidi tagliatelline""",Nidi tagliatelline,400g,16,5900049003503,Type
Lubella,Lasagne Nr 52,Lasagne,500g,27,5900049001523,Type
Lubella,"Piora Nr 17 ""Penne rigate""",Penne rigate,400g,15,5900049006375,Type
Lubella,"Uszka Nr 40 ""Dischi volanti""",Dischi volanti,400g,14,5900049003602,Type
Lubella,"Muszelki morskie Nr 32 ""Gnocchi""",Gnocchi,400g,14,5900049003558,Type
Lubella,"Lazanki Nr 46 ""Quadretti""",Quadretti,500g,14,5900049003466,Type
Lubella,"Krajanka ""Jajeczna""",Krajanka,250g,9,5900049011126,Type
Lubella,"Gwiazdki ""Jajeczna""",Stars,250g,9,5900049010648,Type
Lubella,"Ryz ""Jajeczna""",Rice,250g,9,5900049010686,Type
Lubella,"Koralki ""Jajeczna""",Beads,250g,9,5900049010655,Type
Lubella,"Zacierka ""Jajeczna""",Zacierka,250g,9,5900049010693,Type
Goliard,"Muszelka ""Gnocchi""",Gnocchi,400g,12,5900252000368,Type
Goliard,"Rulka ""Penne rigate""",Penne rigate,400g,12,5900252000375,Type
Goliard,"Lazanka ""Lasagnette""",Lasagnette,400g,12,5900252000351,Type
Goliard,"Swiderek ""Spirali""",Spiral,400g,12,5900252000344,Type
Makaron Wadowicki,Muszelki morskie,Sea shells,400g,12,5900049010631,Type
Pol- Mak,Swiderek Tradycyjny,Traditional gimlet,250g,9,5908310960760,Type
Pol- Mak,Swiderek,Gimlet,400g,12,5904025000241,Type
Klasyczny,Piora,Feathers,400g,12,5904025000692,Type
Klasyczny,Kolanko,Node,400g,12,5904025000159,Type
Klasyczny,Lazanka,Lazanka,400g,12,5904025000555,Type
Zloty lan,Swiderek (makaron 2-jajeczny) z kurkuma,Gimlet (2-egg noodles) with turmeric,400g,9,5908235944005,Type
Zloty lan,Wstazka (makaron 2-jajeczny) z kurkuma,Ribbon (2-egg noodles) with turmeric,400g,9,5908235943985,Type
Zloty lan,Spaghetti,Spaghetti,400g,8,5908235945033,Type
Beskidzki makaron,Makaron z dodatkiem kurkumy,Pasta with turmeric,250g,9,5902149000369,Type
Klas,Tjestenina,Tjestenina,400g,17,3870004002907,Type
SamMills,"Fusilli ""Pasta d'oro"" (makaron bezglutenowy)",Fusilli,500g,21,5948935000274,Type
SamMills,"Penne Rigate ""Pasta d'oro"" (makaron bezglutenowy) ",Pene rigate,500g,21,5948935000267,Type
SamMills,"Spaghetti ""Pasta d'oro"" (makaron bezglutenowy)",Spaghetti,500g,21,5948935002605,Type
Solare,Spagnetti,Spaghetti,400g,9,5900354030164,Type
,RYZ,RICE,WEIGHT,"PRICE, DKK",BARCODE,Type
Kajo,Ryz bialy drugoziarnisty,Long grain white rice,400g,14,5902171000108,Type
Kupiec,Ryz basmati,Basmati rice,400g,21,5902172001111,Type
Cenos,Ryz bialy dlugi,Rice white long,400g,12,5900977001619,Type
Cenos,Ryz naturalny brazowy pelnoziarnisty,Rice natural brown Baker's wares,400g,14,5900977001602,Type
,KASZA,GROATS,WEIGHT,"PRICE, DKK",BARCODE,Type
,Jeczmienna,Barley,,,,Type
Kupiec,Kasza jeczmienna perlowa,Barley pearl groats,400g,19,5902172000145,Type
Kajo,Kasza jeczmienna peczak,Barley pearl groats,400g,6,5902171000061,Type
Kajo,Kasza jeczmienna wiejska,Barley pearl groats,400g,6,5902171000535,Type
Albaris,Kasza jeczmienna wiejska,Barley pearl groats,400g,19,5902180540107,Type
Cenos,Kasza peczak jeczmienny,Barley pearl groats,400g,12,5900977002197,Type
Risana,Kasza peczak jeczmienny,Barley pearl groats,400g,10,5902180570104,Type
,Gryczana,Buchwheat,,,,Type
Cenos,Kasza gryczana prazona,Roasted buckwheat,400g,19,5900977001572,Type
Kajo,Kasza gryczana palona,Roasted buckwheat,400g,13,5902171000740,Type
Albaris,Kasza gruczana prazona,Roasted buckwheat,400g,19,5902180550106,Type
,Pszenna,Wheat,,,,Type
Lubella,Kasza pszenna,Wheat groats,300g,17,5900049001721,Type
,Jaglana,Millet,,,,Type
Cenos,Kasza jaglana,Millet groats,400g,12,5900977007628,Type
Lestello,Kasza jaglana,Millet groats,400g,12,5902609000496,Type
,Bulgur,Bulgur,,,,Type
Melvit,Kasza bulgur premium,Bulgur groats premium,400g,22,5906827015317,Type
,Kuskus,Couscous,,,,Type
Cenos,Kasza kuskus blyskawiczna,Couscous,250g,12,5900977001138,Type
Melvit,Kasza kuskus,Couscous,350g,17,5906827014419,Type
,PLATKI,FLAKES,WEIGHT,"PRICE, DKK",BARCODE,Type
Szczytno,Platki blyskawiczne jaglane,Instant millet flakes,400g,20,5906827014532,Type
,FASOLA,BEANS,WEIGHT,"PRICE, DKK",BARCODE,Type
Cenos,"Fasola ""Piekny jas""","Beasn ""Giants""",400g,22,5900977007949,Type
Kupiec,Fasola biala drobna,White fine beans,400g,18,5902172000053,Type
Kupiec,Fasola piekny jas tyczny,Big handsome Johnny bean,400g,18,5902172001500,Type
Kupiec,Fasola piekny jas karlowy,Handsome Johnny bean,400g,18,5902172000046,Type
,SOCZEWICA,LENTILS,WEIGHT,"PRICE, DKK",BARCODE,Type
Melvit,Soczewica czerwona oryginalna,Redlentils,400g,19,5906827014280,Type
Melvit,Soczewica zielona oryginalna,Greenlentils,400g,13,5906827014303,Type
,OLIWKI,OLIVES,WEIGHT,"PRICE, DKK",BARCODE,Type
Smak,Czarne oliwki bez pestek,Black pitted olives,220g,18,5901871007868,Type
Smak,Zielone oliwki bez pestek,Green pitted olives,220g,18,5901871007851,Type
Giana,Zielone oliwki bez pestek,Green pitted olives,195g,7,8594012795372,Type
Jolca,Zielone oliwki z pasta paprykowa (Manzanilla),Green olives stuffed with pepper pasta (Manzanilla),190g,11,8410667021300,Type
Jolca,Zielone oliwki bez pestek (Manzanilla),Green pitted olives (Manzanilla),185g,11,8410667021294,Type
,OGORKI,CUCUMBERS,WEIGHT,"PRICE, DKK",BARCODE,Type
Urbanek,Ogorki kwaszone,Cucumbers in brine,930g,20,5900907000262,Type
Kwaszarnia,Ogorki kwaszone,Cucumbers in brine,400g,10,5907431182112,Type
Kakol,Ogorki kiszone,Cucumbers in brine,750g,13,5907445277163,Type
,KAPUSTA,CABBAGE,WEIGHT,"PRICE, DKK",BARCODE,Type
Kwaszarnia,Kapusta kwaszona,Cabbage in brine,1 kg,20,5907431182020,Type
Kakol,Kapusta kiszona,Cabbage in brine,1 kg,20,5907445277040,Type
Frutico,Kapusta kwaszona,Sauerkraut,820g,15,5902267000128,Type
Frutico,Kapusta kwaszona z marchewką,Sauerkraut with carrot,820g,15,5902267003488,Type
Frutico,Kapusta czerwona,Red cabbage,820g,15,5902267000258,Type
Dawtona,Kapusta czerwona z jabłkiem,Red cabbage with apple,680g,15,5901713000125,Type
Almar,Kapusta kwaszona,Sauerkraut,840g,15,5902257006109,Type
,BURACZKI,BEETS,WEIGHT,"PRICE, DKK",BARCODE,Type
,Buraczki ćwikłowe specialite wiórki,Red beetroots,510g,12,5904645333523,Type
,SAŁATKI,SALADS,WEIGHT,"PRICE, DKK",BARCODE,Type
Rolnik,Rubin sałatka,Rubin salad,450g,14,5900919004340,Type
Lisner,"Salatka polska ""Jak u Mamy"" warzywna","Polish vegetable salad ""Like Mother's""",150g,10,5900344501780,Type
Lisner,"Salatka warzywna ""Jak u Mamy"" z jajkiem","Vegetable salad ""Like Mother's"" with egg",150g,10,5900344501506,Type
,SELER,CELERY,WEIGHT,"PRICE, DKK",BARCODE,Type
Rolnik,Seler wyborny,Celery,320g,15,5900919000090,Type
Frunktua,Seler konserwowy,Canned Celery,350g,15,5904645003516,Type
,POSIŁEK NA GOTOWO,ALREADY PREPARED DISH,WEIGHT,"PRICE, DKK",BARCODE,Type
Kuchnia Staropolska,Fasolka po bretońsku z kiełbasą,Baked beans with sausage,700g,35,590389627176,Type
Kuchnia Staropolska,Klopsiki w sosie pomidorowym,Meatballs in tomato sauce,700g,35,5903895627183,Type
Kuchnia Staropolska,Pulpety w sosie pomidorowym,Meatballs in tomato sauce,700g,35,5903895627169,Type
Łowicz,Fasolka po bretońsku z boczkiem i kiełbasą,Baked beans with bacon and sausage,580g,39,5900397734838,Type
Łowicz,Fasolka po bretońsku z kiełbasą i boczkiem,Baked beans with sausage and bacon,580g,39,5901886013021,Type
Łowicz,Klopsy w sosie pomidorowym,Meatballs in tomato sauce,580g,39,5901886013052,Type
Pamapol,Glowizna w galarecie+ warzywa,Brawn in jelly with vegetables,498g,20,5901874900197,Type
Pamapol,Fasolka po bretonsku z kielbasa,Baked beans with sausage,500g,20,5907501002081,Type
Pamapol,Pulpety miesno- warzywne w sosie pomidorowym,Meatballs and vegetables in tomato sauce,500g,20,5907501002036,Type
Pamapol,Bigos polski z kielbasa i grzybami,Polish bigos with sausage and mushrooms,500g,20,5907501002128,Type
Pamapol,Golabki w sosie pomidorowym,Stuffed cabbage in tomato sauce,500g,20,5907501002029,Type
Pamapol,Flaczki po zamojsku,Tripe,500g,20,5907501002258,Type
Pamapol,Flaczki w rosole,Tripe in broth,500g,20,5907501002012,Type
Pudliszki,Klopsiki w sosie pomidorowym,Meatballs in tomato sauce,500g,27,5900783004965,Type
Pudliszki,Gulasz wieprzowo- wolowy,Stewed beef,500g,35,5900783004941,Type
Bonduelle,Leczo pieczarkowe pikantne,"Mushroom leczo, hot",450g,22,5900281002982,Type
Bonduelle,Meksykanskie chili con carne,Mexican chili con carne,530g,25,3083681049985,Type
Dania Kachny,Golabki w sosie pomidorowym,Stuffed cabbage in tomato sauce,500g,15,5908235940465,Type
Dania Kachny,Bigos,Bigos,500g,16,5908235943367,Type
Dania Kachny,Klopsiki w sosie pomidorowym,Meatballs in tomato sauce,500g,15,5908235940441,Type
Dania Kachny,Pulpety w sosie pomidorowym,Meatballs in tomato sauce,500g,15,5908235941721,Type
Dania Kachny,Fasolka po bretonsku z kielbasa,Baked beans with sausage,500g,20,5908235940502,Type
Dania Kachny,Flaczki w rosole,Tripe in broth,500g,15,5908235940427,Type
Zagloba,Pulpety w sosie o smaku kurkowym,Meatballs in sauce flavored with chanterelle,500g,20,5900983010810,Type
Zagloba,Klopsy w sosie pieczeniowym,Meatballs in mushrooms sauce,500g,20,5900983010797,Type
Zagloba,Golabki bez zawijania,Stuffed cabbage,500g,20,5900983010827,Type
Agrovita,Fasolka po bretonsku z kielbasa i boczkiem,Baked beans with sausage and bacon,500g,23,5902221662065,Type
Agrovita,Gulasz wieprzowy,Stewed beef,500g,28,5902221662072,Type
Agrovita,Gulasz wieprzowy,Stewed beef,800g,48,5902221662034,Type
Agrovita,Gulasz po wegiersku,Stewed beef,920g,58,5906732602497,Type
Spichlerz Rusiecki,Krakowska kielbasa,"Sausage ""Krakowska""",280g,30,5901874900982,Type
Spichlerz Rusiecki,Podwawelska kielbasa,"Sausage ""Podwawelska""",280g,30,5901874901002,Type
Spichlerz Rusiecki,Golonka szlachecka,Knuckle,300g,30,5907501016132,Type
,SZCZAW,SORREL,WEIGHT,"PRICE, DKK",BARCODE,Type
Rolnik,Szczaw,Sorrel,300g,10,5900919004043,Type
,PIECZARKI MARYNOWANE,MARINATED MUSHROOMS,WEIGHT,"PRICE, DKK",BARCODE,Type
Rolnik,Pieczarki marynowane,Marinated mushrooms,370g,14,5900919222175,Type
Fruktus,Pieczarki marynowane,Marinated mushrooms,270g,17,5904645000775,Type
Global,Pieczarki marynowane,Marinated mushrooms,290g,15,5905864007262,Type
Global,Pieczarki marynowane,Marinated mushrooms,840g,36,5905864007293,Type
Bonduelle,Pieczarki marynowane,Marinated mushrooms,280g,22,5900281000568,Type
Almar,Pieczarki marynowane,Marinated mushrooms,870g,36,5902257006512,Type
Urbanek,Pieczarki marynowane,Marinated mushrooms,290g,17,5900907000392,Type
,SZYBKI POSILEK,FAST FOOD,WEIGHT,"PRICE, DKK",BARCODE,Type
,W kartonie,In the carton box,,,,Type
Vifon,"Danie blyskawiczne z kluskami ""Lunch box"" smak serowy (lagodne)",Cheese flavour instant noodle dish (milk),80g,18,5901882014480,Type
Vifon,"Danie blyskawiczne z kluskami ""Lunch box"" smak gulaszowy (pikantne)",Goulash flavour instant noodle dish (hot),80g,18,5901882014442,Type
Vifon,"Danie blyskawiczne z kluskami ""Lunch box"" smak grzybowy (lagodne)",Mushroom flavour instant noodle dish (mild),80g,18,5901882014428,Type
Vifon,"Danie blyskawiczne z kluskami ryzowymi ""Lunch box"" kurczak (lagodne)",Chicken flavour instant rice noodle dish (mild),80g,18,5901882014367,Type
Vifon,"Danie blyskawiczne z kluskami ryzowymi ""Lunch box"" kim chi (pikantne)",Instant rice noodle dish (hot),80g,18,5901882014381,Type
Knorr,"Makaron z sosem gulaszowym ""Goracy Kubek""",Pasta with goulash sauce,52g,15,5900300519835,Type
Knorr,"Makaron z sosem mysliwskim ""Goracy Kubek""",Pasta with hunter sauce,50g,15,5900300519859,Type
Knorr,"Makaron z sosem serowo- smietanowym ""Goracy Kubek""",Pasta with cream-cheese sauce,60g,15,5900300519811,Type
Knorr,Makaron z sosem bolonskim,Pasta with Bolognese sauce,56g,15,5900300519798,Type
Winiary,"Makaron z sosem gulaszowym ""Danie w 5 minut""",Pasta with goulash sauce,50g,15,5900085010640,Type
Winiary,"Makaron z sosem pieczarkowym ""Danie w 5 minut""",Pasta with mushrooms sauce,50g,15,5900085010657,Type
Winiary,"Spagetti po Neapolitansku ""Danie w 5 minut""",Spagetti Neapolitan style,55g,15,5900085011814,Type
,Nudle,Noodles,,,,Type
Knorr,"Danie o smaku kebabu ""Knorr nudle""","Noodles with kebab taste ""Knorr nudle""",65g,6,8712100382635,Type
Knorr,"Danie o smaku sera mozzarella ""Knorr nudle""","Noodles with mozzarella cheese taste ""Knorr nudle""",63g,6,8712100382666,Type
Knorr,"Danie o smaku grzybowym ""Knorr nudle""","Noodles with mushrooms taste ""Knorr nudle""",63g,6,8712100384820,Type
Knorr,"Danie o smaku ostrego boczku ""Knorr nudle""","Noodles with acute bacon taste ""Knorr nudle""",63g,6,8712100379895,Type
Knorr,"Danie o smaku ostrego kurczaka ""Norr nudle""","Noodles with acute chicken taste ""Knorr nudle""",63g,6,8712100379970,Type
Amino,Zupa blyskawiczna grybowa,Noodles with mushrooms taste,57g,5,8712100379215,Type
Amino,Zupa blyskawiczna grochowa z wedzonka,Noodles with pea and smoked bacon taste,65g,5,8712100379291,Type
Vifon,"Zupa blyskawiczna o smaku kurczaka ""Kurczak chinski"" (lagodna)","Noodles with chicken taste ""Chinese chicken"" (mild)",70g,5,5901882110151,Type
Vifon,"Zupa blyskawiczna o smaku kurczaka ""Kurczak pieczony"" (lagodna)","Noodles with chicken taste ""Roasted chicken"" (mild)",70g,5,5901882110090,Type
Vifon,"Zupa blyskawiczna o smaku kurczaka ""Kurczak curry"" (ostra)","Noodles with chicken taste ""Curry chicken"" (hot)",70g,5,5901882110069,Type
Vifon,"Zupa blyskawiczna o smaku krewetkowy ""Tom yum krewetkowa tajska"" (ostra)","Noodles with shrimp taste ""Tom yum shrimp tai"" (hot)",70g,5,5901882110120,Type
Vifon,"Zupa blyskawiczna o smaku krabowym ""Krabowa"" (ostra)","Noodles with crab taste ""Crab"" (hot)",70g,5,5901882110106,Type
,Zupa w proszku,Powder soups,,,,Type
Knorr,"Pomidorowa kremowa ""Goracy Kubek na bogato"" z makaronem",Tomato cream soup with pasta,36g,8,8718114884066,Type
Knorr,"Rosol z kury ""Goracy Kubek na bogato"" z makaroenm i warzywami",Chicken bouillon with pasta and vegetables,29g,8,8718114884080,Type
Knorr,"""Goracy Kubek"" smak zielona cebulka z grankami",Soup with green onion taste and croutons,16g,5,8711200526734,Type
Knorr,"""Goracy Kubek"" krem z kury z grankami",Chicken cream soup with croutons,18g,5,5900300542802,Type
Knorr,"""Goracy Kubek"" grochowa z grankami",Pea soup with croutons,20g,5,8711200525300,Type
Knorr,"""Goracy Kubek"" barszcz czerwony",Red soup Borsch,12g,5,5900300542864,Type
Knorr,"""Goracy Kubek"" barszcz czerwony",Red soup Borsch,14g,5,8712100868689,Type
Knorr,Zupa grzybowa,Mushroom soup,50g,12,8718114703954,Type
Knorr,Barszcz czerwony,Red beetroot soup Borsch,53g,6,8718114711188,Type
Dobre zupy,Zupa ogonowa,Chilli soup,50g,12,5900288235574,Type
Dobre zupy,Barszcz bialy,White soup Borsch,60g,12,5900288255527,Type
Dobre zupy,Zupa pieczarkowa,Mushroom soup,60g,12,5900288256234,Type
Dobre zupy,Barszcz czerwony,Red beetroot soup Borsch,35g,5,5900288195281,Type
Amino,Barszcz bialy,White soup Borsch,39g,12,8712100520761,Type
Amino,Barszcz czerwony,Red beetroot soup Borsch,37g,6,8718114711041,Type
Amino,Zurek slaski,Sour rye flour soup,46g,5,5900300545032,Type
Winiary,Zupa grzybowa,Mushroom soup,48g,12,7613033000546,Type
Winiary,"Zurek na wedzonce ""Jak u Mamy""",Sour rye flour soup with smoked bacon,46g,10,7613033747458,Type
Cykoria,Zurek piastowski,Sour rye flour soup,40g,5,5900288002855,Type
,ZUPA,SOUPS,WEIGHT,"PRICE, DKK",BARCODE,Type
Rolnik,Barszcz czerwony koncentrat,Red beetroot koncentrat,330ml,12,5900919001073,Type
Rolnik,Zurek domowy,Sour rye flour soup,370mk,10,5900919002025,Type
Krakus,Zurek koncentrat,Sour rye flour soup concentrate,300ml,14,5900397730748,Type
Krakus,Zurek,Sour rye flour soup,1l,20,5900397734401,Type
Krakus,Barszcz czerwony,Red beetroot soup Borsch,1l,20,5900397734357,Type
Almar,Zurek naturalny staropolski,Natural sour rye flour soup,500ml,7,5902257006536,Type
Unamel,Zurek koncentrat,Sour rye flour soup concentrate,460g,13,5902468101198,Type
Profi,Zupa jarzynowa z miesem wieprzowym,Vegetable soup with pork,450g,15,5901696000945,Type
Profi,Zupa ogorkowa z miesem wieprzowym,Cucumber soup with pork,450g,15,5901696000835,Type
Profi,Kapusniak z miesem wieprzowym,Cabbage soup with pork,450g,15,5901696000969,Type
Profi,Zupa pieczarkowa z miesem wieprzowym,Mushroom soup with pork,450g,15,5901696000976,Type
Profi,Zupa gulaszowa z warzywami i tymiankiem,Goulash with vegetables and thyme,450g,15,5901696001812,Type
Profi,Zupa grzybowa z suszonych grzybow,Mushroom soup (made from dry mushrooms),450g,15,5901696000952,Type
Profi,Barszcz ukrainski z koperkiem,Red beetroot soup Ukrainian Borsch with dill,450g,15,5901696001324,Type
Profi,Krupnik z miesem wieprzowym,Krupnik with pork,450g,15,5901696000860,Type
Profi,Zupa pomidorowa z makaronem,Tomato soup with pasta,450g,15,5901696010425,Type
Profi,Zupa pomidorowa z miesem wieprzowym,Tomato soup with pork,450g,15,5901696000839,Type
Winiary,Krajanka ogorkowa w koncentracie z przyprawami (do zupy ogorkowej),Cucumber concentrate with pieces of cucumbers and with spieces (for cucumber soup),250g,12,7613035445185,Type
Krasnystaw,Chlodnik,Cold beetroot soup,300g,10,5902057004213,Type
,MAKA,FLOUR,WEIGHT,"PRICE, DKK",BARCODE,Type
Zloty lan,Maka tortowa,Flour for cakes,1 kg,11,5908235940267,Type
Zloty lan,Maka luksusowa,Flour,1 kg,11,5908235940687,Type
Zloty lan,Maka wroclawska,Flour,1 kg,11,5908235940243,Type
,BULKA TARTA,BREAD CRUMBS,WEIGHT,"PRICE, DKK",BARCODE,Type
Cenos,Bulka tarta,Bread crumbs,400g,10,5900977003859,Type
,SODA,SODA,WEIGHT,"PRICE, DKK",BARCODE,Type
Gellwe,Soda oczyszczona,Baking soda,80g,3,5900552000952,Type
Delecta,Soda oczyszczona,Baking soda,100g,8,5900983020307,Type
,CUKIER,SUGAR,WEIGHT,"PRICE, DKK",BARCODE,Type
Diamant,Cukier bialy,White sugar,1 kg,14,5907069000017,Type
Diamant,Cukier kostka,Sugar cube,500g,16,5907069000345,Type
Diamant,"Cukier trzcinowy, nierafirowany","Cane sugar, refined",500g,25,5907069001922,Type
,SOL,SALT,WEIGHT,"PRICE, DKK",BARCODE,Type
Klodawa,Sol kamienna spozywcza jodowana,"Stoned, iodized salt for food",1 kg,5,5902587000020,Type
Cuor di Mare,Sol morska drobnomielona,"Sea salt for food, finely diced",1 kg,12,8016926700063,Type
Cenos,Sol spozywcza jodowana,Iodized salt for food,1 kg,5,5902333000021,Type
,PUDER DO CIASTECZKI,POWDER FOR BAKING DESSERT,WEIGHT,"PRICE, DKK",BARCODE,Type
Dr. Oetker,Ciasto czekoladowe XXL,Chocolate cake XXL,671g,36,5900437080109,Type
Dr. Oetker,Kopiec Kreta oryginalny,Kreta cake,410g,37,5900437089003,Type
Dr. Oetker,Babeczki kopce kreta,Muffins,264g,29,5900437081823,Type
Dr. Oetker,Krem smak smietankowy,Cream for cakes with sour cream taste,120g,15,5900437013701,Type
Dr. Oetker,Krem o smaku smietankowym,Cream for cakes with sour cream taste,100g,15,5900288324575,Type
Delecta,Ciasto czekoladowe z belgijska czekolada (duza blacha),Chocolate cake from Belgium chocolate,670g,25,5900983002891,Type
Delecta,Krem tortowy smak krowka,Cream for cakes with caramel taste,110g,17,5900983004499,Type
Delecta,Krem tortowy smak ajerkaniakowy,Cream for cakes with cognac taste,120g,17,5900983022806,Type
Delecta,Krem tortowy smak czekoladowy,Cream for cakes with chocolate taste,115g,17,5900983004437,Type
Delecta,Krem karpatka oryginalna,"Cream for cakes ""Karpatka""",250g,17,5900983003997,Type
Delecta,Krem karpatka 5 minut,"Cream for cakes ""Karpatka""",145g,17,5900983003706,Type
Delecta,Ciasto w proszku Tiramisu,Tiramisu,420g,25,5900983003560,Type
Delecta,Ciasto w proszku Krowka,Caramelised condensed milk cake,530g,25,5900983005502,Type
Delecta,Ciasto w proszku Karpatka,Karpatka,390g,25,5900983003478,Type
Delecta,Duza Blacha ciasto kruche,Cake sheet (large),600g,25,5900983002686,Type
Delecta,Duza Blacha ciasto jogurtowe,Cake sheet (large) with yoghurt taste,640g,25,5900983002884,Type
Delecta,Duza Blacha piernik,Cake sheet (large) with gingerbread taste,680g,25,5900983002907,Type
Delecta,Sernik blyskawiczny smak jogurtowy,Cheese cake with yoghurt taste,183g,17,5900983004512,Type
Delecta,Sernik blyskawiczny oryginalny,Cheese cake,193g,17,5900983004895,Type
Delecta,Szybki sernik na zimno z truskawkami,Cheese cake with strawberry taste,38g,6,5900983005779,Type
Delecta,Szybki sernik na zimno z prawdziwa wanilia,Cheese cake with vanilla,38g,6,5900983005793,Type
Gellwe,Ciasto krem do karpatka,"Cream for ""Karpatka""",340g,25,5900552001324,Type
Gellwe,Krem czekoladowy,Chocolate cream,140g,17,5900552021155,Type
Gellwe,Sernik na zimno,Cheese cake,193g,17,5900552012504,Type
,BUDYN,PUDDING,WEIGHT,"PRICE, DKK",BARCODE,Type
Delecta,Szybki budyn smak smietankowy z biala czekolada,White chocolate pudding with sour cream taste,40g,5,5900983000736,Type
Delecta,Budyn smak smietankowy Aksamitny,Pudding with sour cream taste,47g,6,5900983000699,Type
Delecta,Budyn smak czekoladowy Aksamitny,Pudding with chocolate taste,47g,6,5900983000675,Type
Delecta,Duzy budyn smak krowki,Pudding with caramelised condensed milk taste,64g,6,5900983000668,Type
Delecta,Budyn premium smak waniliowy z dodatkiem wanilii,Pudding with vanilla,47g,6,5900983000682,Type
Delecta,Budyn premium smak smietankowy z biala czekolada,White chocolate pudding with sour cream taste,47g,6,5900983000699,Type
Winiary,Budyn o smaku smietankowym z cukrem,Pudding with sour cream taste,60g,5,5900085000115,Type
Winiary,Budyn o smaku malinowym z cukrem,Pudding with raspberry taste,60g,5,5900085002270,Type
Winiary,Budyn o smaku waniliowym z cukrem,Pudding with vanilla taste,60g,5,5900085000139,Type
Winiary,Budyn o smaku wisniowym z cukrem,Pudding with cherry taste,60g,5,5900085000146,Type
Winiary,Budyn o smaku toffi z cukrem,Pudding with toffi taste,60g,5,5900085006452,Type
Winiary,Budyn o smaku truskawkowym z cukrem,Pudding with strawberry taste,60g,5,7613033899096,Type
Winiary,Budyn o smaku bananowym z cukrem,Pudding with banana taste,60g,5,5900085002287,Type
