ALCOHOL DRINKS,,,,,,
,PIWO,BEER,WEIGHT,"PRICE, DKK",BARCODE,Type
Hortex,Wielowarzywny (100% sok),Mixes vegetables juice (100% juice),1l,15,5900500027666,Type
Hortex,Mandarynki Klementynki z czasteczkami miazszu,Orange juice with pulp,1l,15,5900500026744,Type
,SYROPY,SYRUPS,,,,Type
Łowicz,Łowicz czarna porzeczka syrop,Lowicz black currant syrup,440ml,20,5900397020368,Type
Łowicz,Łowicz żurawina syrop,Lowicz carnberry syrup,440ml,20,5900397734135,Type
Łowicz,Łowicz truskawka syrop,Lowicz strawberry syrup,440ml,20,5900397020313,Type
Łowicz,Łowicz pomarańcza syrop,Lowicz orange syrup,440ml,20,5900397020115,Type
Łowicz,Łowicz malina syrop,Lowicz raspberry syrup,440ml,20,5900397020214,Type
Łowicz,Łowicz malina z zurawina syrop,Lowicz raspberry and carnberry syrup,440ml,20,5900397734128,Type
Łowicz,Łowicz malina z cytryna syrop,Lowicz raspberry and lemon syrup,440ml,20,5900397734104,Type
Łowicz,Łowicz malina z kwiatem lipy syrop,Lowicz raspberry and linden flower syrup,440ml,20,5900397734111,Type
Łowicz,Łowicz wisnia syrop,Lowicz cherry syrup,440ml,20,5900397020269,Type
Łowicz,Łowicz cytryna syrop,Lowicz lemon syrup,440ml,20,5900397020160,Type
Łowicz,Łowicz mango zielona herbata syrop,Lowicz green tea with mango syrup,440ml,20,5900397736276,Type
Łowicz,Łowicz cytryna zielona herbata syrop,Lowicz green tea with lemon syrup,440ml,20,5900397736252,Type
SNACKS,,,,,,Type
,CHIPSY,CHIPS,WEIGHT,"PRICE, DKK",BARCODE,Type
Lay's,"Pikantne chipsy ""Strong"" karbowane o smaku ostre chilli","Chips ""Strong"" with spicy chilli flavour",140g,18,5900259076656,Type
Lay's,"Pikantne chipsy ""Strong"" karbowane o smaku mocne piri piri","Chips ""Strong"" with super spicy chilli and black pepper flavour",140g,18,5900259076670,Type
Lay's,"Chipsy ziemniaczane ""Maxx mocno pogiete"" czerwona papryka","Chips ""Maxx mocno pogiete"" with red pepper flavour",140g,18,5900259057624,Type
Lay's,"Chipsy ""TV paka"" naturalne solone","Chips ""Tv pack"" natural salty",140g,18,5900259076830,Type
Lay's,"Chipsy ""TV paka"" fromage","Chips ""Tv pack"" fromage",140g,18,5900259076779,Type
Lay's,"Chipsy ""TV paka"" papryka","Chips ""Tv pack"" pepper",150g,18,5900259111241,Type
Lay's,"Pieczone chipsy ""Prosto z pieca"" grillowana papryka","Baked chips ""Straight from the oven"" with grilled peppers taste",130g,16,5900259036148,Type
Lay's,"Pieczone chipsy ""Prosto z pieca"" zielona cebulka z serem","Baked chips ""Straight from the oven"" with green onion and cheese taste",130g,16,5900259056283,Type
Lay's,"Chipsy ""Karbowane"" papryka",Chips with pepper,150g,18,5900259066237,Type
Lay's,"Chipsy ""Karbowane"" zielona cebulka",Chips with green onion,150g,18,5900259066213,Type
Przysnacki,Prazynki ziemniaczano-pszenne o smaku bekonowym,Potato-wheat puffs with bacon taste,140g,10,5900073020217,Type
,CHRUPKI KUKURYDZIANE,CORN CHIPS,WEIGHT,"PRICE, DKK",BARCODE,Type
Cheetos,Chupki kukurydziane o smaku sera,Crunchy corn with cheese taste,85g,12,5900259029041,Type
Cheetos,Chupki kukurydziane o smaku ketchupowym,Crunchy corn with ketchup taste,85g,12,5900259353276,Type
Tygryszki,"Chrupki kukurydziane ""Rodzinne""",Crunchy corn for family,300g,23,5908221100125,Type
,PRZEKĄSKI Z HLEBA,BREAD SNACKS,WEIGHT,"PRICE, DKK",BARCODE,Type
