FIRMA,DENUMIRE PRODUS,PRODUCT,GRAMAJ,PRET - DKK,,
,Prajitura Magura cu Cacao,Magura – Cake with Cocoa,35 g,"5,-",5 941047 814005,COOKIES AND PASTRIES
,Cozonac cacao si rahat,Cake – cocoa and Turkish delight,400 g,"30,-",5 941300 000022,COOKIES AND PASTRIES
ACCASA,Cozonac nuca,Cake – walnuts,400 g,"30,-",5 941300 000749,COOKIES AND PASTRIES
,Cozonac cu crema caramel si ciocolata,Cake - caramel cream and chocolate ,450 g,"36,-",5 941300 007106,COOKIES AND PASTRIES
,Cozonac nuca si stafide,Cake – walnuts and raisins,400 g,"30,-",5 941300 001142,COOKIES AND PASTRIES
,Prajitura cu aroma de caramel,Caramel bianco - caramel flavoured cake,300 g,"25,-",5 941850 164816,COOKIES AND PASTRIES
,Prajitura cu aroma fina de lamaie,Lemon taste fine cake,300 g,"25,-",5 941850 163093,COOKIES AND PASTRIES
,Prajitura asortata,Assorted cakes,300 g,"25,-",RECHECK,COOKIES AND PASTRIES
,Prajitura Ambasador cu crema de caise,Ambasador cake - cake with apricot paste,300 g,"25,-",5 941850 163109,COOKIES AND PASTRIES
,Prajitura Domino,Domino cake,300 g,"25,-",5 941850 163246,COOKIES AND PASTRIES
,Tiramisu - Prajitura cu cafea instant,Tiramisu - cake with instant coffee,300 g,"25,-",5 941850 163048,COOKIES AND PASTRIES
,Butoiase - rulouri cu aroma de vanilie,Barrels - vanilla flavoured pastry rolls,300 g,"25,-",5 941850 164694,COOKIES AND PASTRIES
,Rulade asortate,Assorted pastry rolls,300 g,"25,-",5 941850 164694,COOKIES AND PASTRIES
,Puff - rulouri cu crema de vanilie,Puff pastry roll with vanilla taste cream,350 g,"29,-",5 941850 163024,COOKIES AND PASTRIES
,Puff - rulouri cu crema de frisca,Puff pastry roll with whipped cream taste cream,350 g,"29,-",5 941850 164908,COOKIES AND PASTRIES
,Puff - rulouri cu crema de cacao,Puff pastry roll with cocoa cream,350 g,"29,-",5 941850 163017,COOKIES AND PASTRIES
,Paleu cu crema fondant,Paleu fondant cream,300 g,"25,-",5 941850 164311,COOKIES AND PASTRIES
DR. FURSEC,Fursecuri cu stafide si aroma de unt,Shortbread cookies with raisins and butter taste,350 g,"29,-",5 941850 164281,COOKIES AND PASTRIES
DOBROGEA GRUP,Salam de biscuiti – rahat si stafide,Biscuits salami – Turkish delight and raisins,"80,-","8,-",5 941850 164397,COOKIES AND PASTRIES
,Salam de biscuiti – rahat si stafide,Biscuits salami – Turkish delight and raisins,300 g,"25,-",5 941850 164359,COOKIES AND PASTRIES
,Amandina,Amandina,300 g,"25,-",6 422064 009142,COOKIES AND PASTRIES
MONDELEZ,Eugenia – lapte si vanilie,Eugenia – milk and vanilla,36 g,"4,-",5 941006 101641,COOKIES AND PASTRIES
,Eugenia – aroma de lamaie,Eugenia – with lemon taste,36 g,"4,-",5 941006 101658,COOKIES AND PASTRIES
,Eugenia – crema de cacao,Eugenia – cocoa cream,36 g,"4,-",5 941006 101566,COOKIES AND PASTRIES
KANDIA DULCE,Barni – chocolate filing,Barni – chocolate filing,30 g,"5,-",5 906747 314118,COOKIES AND PASTRIES
,Barni – Milk filling,Barni – Milk filling,30 g,"5,-",5 906747 318345,COOKIES AND PASTRIES
,CIOCOLATA,CHOCOLATE,,,,
,Rom,Rom,30 g,"5,-",5 941047 805911,CHOCOLATE
,Fagaras – visine si rom,Fagaras - sour cherry and rum,27 g,"5,-",5 941047 826374,CHOCOLATE
MONDELEZ,Fagaras – stafide si rom,Fagaras – raisins and rum,30 g,"5,-",5 941047 800336,CHOCOLATE
,Laura - crema visine,Laura - sour cream,95 g,"12,-",5 941047 821263,CHOCOLATE
,Laura - crema zmeura,Laura - raspberry cream,95 g,"12,-",5 941047 821287,CHOCOLATE
,Africana cu lapte,Africana - milk,90 g,"12,-",7 622300 730987,CHOCOLATE
,Africana cu stafide si arahide,Africana – raisins and peanuts,90 g,"12,-",7 622300 730963,CHOCOLATE
,Poiana – aerata lapte,Poiana - chocolate milk with air bubbles,90 g,"15,-",7 622300 255398,CHOCOLATE
,Poiana cu lapte,Poiana -milk,90 g,"15,-",7 622300 683016,CHOCOLATE
BEST FOODS,Poiana cu alune,Poiana - hazelnuts,90 g,"15,-",7 622300 683023,CHOCOLATE
,Poiana cu crema visine,Poiana - sour cream,90 g,"15,-",,CHOCOLATE
,SNACKS,SNACKS,,,,
,Bestini alune,Bestini peanuts,25 g,"6,-",3 800024 310263,SNACKS
,Bestini branza,Bestini cheese,25 g,"6,-",3 800024 310256,SNACKS
,Bestini bacon snacks,Bestini bacon snacks,80 g,"10,-",3 800024 310033,SNACKS
,Lotto pizza,Lotto pizza,75 g,"10,-",3 800024 311123,SNACKS
INTER SNACK,Lotto mega pops cheese,Lotto mega pops cheese,78 g,"10,-",3 800024 310614,SNACKS
CHITULESCU PROD,Lotto peanuts,Lotto peanuts,90 g,"10,-",3 800024 311130,SNACKS
,Lotto mega nuts,Lotto mega nuts,60 g,"10,-",3 800024 310515,SNACKS
PHOENIXY,Chio chips salted,Chio chips salted,140 g,"18,-",,SNACKS
DORIVI PROD COM,Bobita - cereale expandate,Bobita - swelled cereals,25 g,"4,-",,SNACKS
,Bobita - cereale expandate,Bobita - swelled cereals,100 g,"12,-",,SNACKS
,Gusto - pufuleti,Corn snacks,45 g,"5,-",6 420211 000332,SNACKS
