ALCOHOL DRINKS,,,,,,
Bucegi,Pate porc,Pork pate,300 g,19,5941341002771,Type
Bucegi,Pate pui,Chicken pate,120 g,8,5941341032525,Type
Bucegi,Pate pui,Chicken pate,200 g,16,5941341001361,Type
Bucegi,Pate pui,Chicken pate,300 g,19,5941341003976,Type
Bucegi,Vegetal cu ardei,Vegetal pate with pepper,100 g,8,5941341014996,Type
Bucegi,Vegetal cu ardei,Vegetal pate with pepper,200 g,15,5941341014965,Type
Bucegi,Vegetal clasic,Classic vegetal pate,100 g,8,5941341002979,Type
Bucegi,Vegetal clasic,Classic vegetal pate,200 g,15,5941341002993,Type
Sadu,Vegetal,Vegetal pate,100 g,8,5941341020812,Type
Sadu,Vegetal,Vegetal pate,200 g,15,5941341020843,Type
Scabdia Sibiu,Pate de pui,Chicken pate,200 g,12,5941334000036,Type
,ZACUSCA,VEGETABLE STEW,WEIGHT,"PRICE, DKK",BARCODE,Type
Mandy Foods,Zacusca picanta,Spicy stew,300 g,17,5941334000609,Type
Mandy Foods,Zacusca cu ciuperci,Mushrooms stew,300 g,17,5941334000623,Type
Mandy Foods,Zacusca taraneasca,Rustic stew,300 g,17,5941334002818,Type
Mandy Foods,Zacusca de vinete coapte pe flacara,Vegetable stew of eggplant,300 g,17,5941334000593,Type
Mandy Foods,Olympia - Zacusca de fasole,Olympia - Beans stew,300 g,20,,Type
Mandy Foods,Olympia - Zacusca picanta,Olympia - Spicy stew,300 g,20,,Type
Raureni,Zacusca picanta,Spicy vegetable stew,700 g,30,5941028009451,Type
Conservfruct,Zacusca picanta,Spicy zacusca,300 g,20,5941028004272,Type
Conservfruct,Zacusca taraneasca,Rustic zacusca,300 g,20,5941028003978,Type
Contec Foods,Zacusca de legume cu ciuperci,Mushrooms stew,300 g,17,,Type
Contec Foods,Zacusca de legume cu fasole,Beans stew,300 g,17,5941863002761,Type
Contec Foods,Zacusca de legume cu vinete,Aubergines stew,300 g,17,,Type
Contec Foods,Olympia - Zacusca de vinete coapte,Olympia - Aubergines stew,300 g,20,,Type
Contec Foods,Olympia - Zacusca de ciuperci,Olympia – Mushrooms stew,300 g,20,5941466008191,Type
,MAIONEZA,MAYONNAISE,WEIGHT,"PRICE, DKK",BARCODE,Type
Cris-Tim,Maioneza cu ou,Egg mayonnaise,280 g,15,5941334007677,Type
Cris-Tim,Maioneza vegetala,Vegetable mayonnaise,280 g,15,5941334007684,Type
,MUSTAR,MUSTARD,WEIGHT,"PRICE, DKK",BARCODE,Type
Contec Foods,Mustar clasic,Classic mustard,280 g,15,,Type
Contec Foods,Mustar cu bobite,Mustard with grains,280 g,15,,Type
Contec Foods,Olympia - Mustar din Tecuci cu boabe,Olympia - Tecuci mustard with grains,300 g,15,,Type
Contec Foods,Olympia - Mustar din Tecuci hrean,Olympia - Tecuci mustard with horseradish,300 g,15,5941466014697,Type
Contec Foods,Olympia - Mustar din Tecuci clasic,Olympia - Classic Tecuci mustard,300 g,15,5941466002571,Type
Contec Foods,Olympia - Mustar din Tecuci miere,Olympia - Tecuci mustard with honey,300 g,15,,Type
Uboldi,Olympia - Mustar din Tecuci dulce,Olympia - Sweet Tecuci mustard,300 g,15,,Type
Cris-Tim,Olympia - Mustar din Tecuci iute,Olympia - Spicy Tecuci mustard,300 g,15,5941466002595,Type
Cris-Tim,De la Cris-Tim - Mustar inte,De la Cris-Tim - spicy mustard,280 g,12,5941265014843,Type
Cris-Tim,De la Cris-Tim - Mustar cu hrean,De la Cris-Tim - mustard with horseradish,280 g,12,5941265014836,Type
Cris-Tim,De la Cris-Tim - Mustar cu bobite,De la Crist-Tim - mustard with grains,280 g,12,5941265014867,Type
,CONDIMENTE,SEASONING,WEIGHT,"PRICE, DKK",BARCODE,Type
Deli K'at,Original,Original,20 g,10,,Type
Deli K'at,Legume,Vegetables,75 g,12,8712100386473,Type
Deli K'at,Legume,Vegetables,250 g,20,8712100386497,Type
Deli K'at,Gust de gaina,Chicken taste,75 g,12,8712100386619,Type
Deli K'at,Gust de gaina,Chicken taste,200 g,24,8712100799945,Type
Deli K'at,Gust de gaina,Chicken taste,400 g,39,8712100386657,Type
Deli K'at,Condimente pentru barbeque pui,Chicken barbecue spices,30 g,12,8712566379835,Type
Deli K'at,Condimente pentru barbeque porc,Pig barbecue spices,30 g,12,8712566379811,Type
Alex,Condiment pentru carne de porc,Seasoning for pork,18 g,5,5941390027053,Type
Alex,Condiment pentru chiftele,Seasoning for meatballs,16 g,5,5941390027091,Type
Alex,Boia de ardei iute,Sweet pepper powder,17 g,5,5941390027060,Type
Alex,Tarhon,Tarragon,4 g,5,5941390027176,Type
Alex,Cimbru,Thyme,8 g,5,5941390026940,Type
Alex,Patrunjel,Parsley,8 g,5,5941390027046,Type
Maggi,"Baza pentru mancaruri cu legume ""Secretul Gustului""","The basis for dishes (seasoning) with vegetables ""The secret of taste""",75 g,8,8585002460004,Type
Maggi,"Baza pentru mancaruri cu legume ""Secretul Gustului"" (2x200g)","The basis for dishes (seasoning) with vegetables ""The secret of taste"" (2x200g)",400 g,36,5941017010840,Type
,SOLUBILA SUPEI,SOUPS IN POWDER,WEIGHT,"PRICE, DKK",BARCODE,Type
Deli K'at,Bors magic original,Magic borch – Original,20 g,5,8718114876009,Type
Deli K'at,Bors cu Legume,Borch with vegetables,150 g,15,3850104272424,Type
