,,,,,,
SWEET PRODUCTS,,,,,,
,КОНСЕРВЫ,CONSERVES,WEIGHT,PRICE,BARCODE,Type
Dorshleber,Печень трески,Cod liver,,30,,Type
Import&Export,Тушёнка куриная,Chicken stew,320g,30,4260352190095,Type
Weberleng,Свиная закуска,Pork appetizer,320g,22,616204192962,Type
Weberleng,"Свиная тушёнка, крупнокусковая","Pork stew, lump",320g,30,616204192931,Type
Leon GmbH,Баранина тушеная крупнокусковая,"Lamb stew, lump",525g,45,4751010853075,Type
Leon GmbH,Тушеный куриный окорок,Braised chicken ham,525g,40,4751010852115,Type
Leon GmbH,Говядина тушеная крупнокусковая,"Beef stew, lump",525g,45,4751010852108,Type
,ПАШТЕТ,PATE,WEIGHT,PRICE,BARCODE,Type
Leon,"Гусиный паштет, печеночный",Goose liver pate,300g,22,2520004830062,Type
Leon,"Утиный пачтет, печеночный",Duck liver pate,300g,22,2520004830024,Type
,ГОТОВЫЕ СУПЫ/ ЗАПРАВКИ ДЛЯ СУПА,ALREADY MADE SOUPS/ BASE FOR SOUPS,WEIGHT,PRICE,BARCODE,Type
Тещины рецепты,Борш украинский,Ukrainian Borsch,460g,18,4260099272528,Type
Тещины рецепты,Суп Харчо,Soup Kharcho,460g,18,4260099272559,Type
Тещины рецепты,Грибной суп,Mushroom soup,460g,22,4260099272504,Type
Тещины рецепты,Шавельный суп,Shavelny soup,460g,18,4260099272511,Type
Русский Стиль,Суп Рассольник,Pickle soup,460g,20,5901008045442,Type
Русский Стиль,Суп Солянка,Soup Solyanka,460g,18,5901008045664,Type
Dworek,Щи по-деревенски,Rural style soup,680g,20,5904603191835,Type
Leon,Борщ украинский густой,Ukrainian Borsch,460g,18,5901008044469,Type
Leon,Уха из лосося,Soup from salmon,240g,16,4751004282904,Type
Тещины рецепты,Заправка для борша с болгарским перцем,Dressing for Borsch with sweet pepper,370g,16,4260099272191,Type
Тещины рецепты,Заправка для борша свекольно- томатная,Beetroot and tomato dressing for Borsch,370g,16,4260099272146,Type
Тещины рецепты,Заправка для рассольника,Dressing for pickle soup,370g,16,4260099272467,Type
Едим дома,Заправка для красного борща,Dressing for red Borsch,470g,18,4820015947000,Type
,КОНСЕРВИРОВАНЫЕ ПОМИДОРЫ,TOMATOES,WEIGHT,PRICE,BARCODE,Type
Русский Стиль,Томаты с укропом без уксуса,"Tomatoes with dill, without vinegar",900ml,20,5901008045114,Type
Русский Стиль,Томаты бочковые,Drum tomatoes,900ml,20,5901008045206,Type
Тещины рецепты,Томаты,Canned tomatoes,840g,22,4260099274270,Type
Тещины рецепты,Консервированные томаты по-болгарски,Canned tomatoes Bulgarian style,980g,25,4260099275208,Type
Тещины рецепты,"Консервированные томаты ""черри"" по-болгарски","Canned tomatoes ""cherry"" Bulgarian style",980g,25,4260099275338,Type
Тещины рецепты,Консервированные помидоры с листом вишни по-астрахански,Canned tomatoes with cherry leaf,850g,22,4260099274195,Type
